fact,k_s,pzt,pzm,fnlt,fnlm
4.164241450262994916e-04,2.089655148843563848e-01,2.099526483554814599e-09,2.099564628556969239e-09,-3.788529645733876294e-02,8.969513224195533804e-03
4.174727639243932566e-04,2.094917216151015171e-01,2.099473995621316142e-09,2.099515919216461670e-09,-3.785666314119289638e-02,8.998899213289021301e-03
4.185240234032668797e-04,2.100192534138785039e-01,2.099426278903076235e-09,2.099467920946181119e-09,-3.779787833081145465e-02,9.028336192148662953e-03
4.195779301123007347e-04,2.105481136174083279e-01,2.099373654556738939e-09,2.099420607811199245e-09,-3.784805728982860301e-02,9.057827984529131030e-03
4.206344907176206975e-04,2.110783055708150280e-01,2.099335387344345173e-09,2.099373972383585521e-09,-3.786534657570599788e-02,9.087378755863901106e-03
4.216937119021384791e-04,2.116098326276459884e-01,2.099287927851916358e-09,2.099327990495823607e-09,-3.780190262691161818e-02,9.116992473654146265e-03
4.227556003655942888e-04,2.121426981498932274e-01,2.099209440694726062e-09,2.099247928984754339e-09,-3.773182220203218779e-02,9.146672606502696812e-03
4.238201628245995517e-04,2.126769055080149351e-01,2.099153838305890139e-09,2.099197460867914921e-09,-3.768004841782044562e-02,9.176422163530886800e-03
4.248874060126792466e-04,2.132124580809566794e-01,2.099108615413540195e-09,2.099147691914528121e-09,-3.772636626695514972e-02,9.206242965094972586e-03
4.259573366803133228e-04,2.137493592561721389e-01,2.099061087203005478e-09,2.099098608241227210e-09,-3.767253937450375928e-02,9.236136015244497330e-03
4.270299615949816946e-04,2.142876124296458074e-01,2.099006111303632110e-09,2.099050191352836028e-09,-3.762380209433491968e-02,9.266100962724876586e-03
4.281052875412052778e-04,2.148272210059134768e-01,2.098960007056786950e-09,2.099002425907898383e-09,-3.757871688800987209e-02,9.296136735670116821e-03
4.291833213205895753e-04,2.153681883980841094e-01,2.098878424004104330e-09,2.098921639484148551e-09,-3.762991012517796080e-02,9.326240881272302927e-03
4.302640697518679363e-04,2.159105180278616531e-01,2.098829921204178035e-09,2.098869366536248700e-09,-3.764231626629477995e-02,9.356410544944661345e-03
4.313475396709430271e-04,2.164542133255657197e-01,2.098776339647862075e-09,2.098817781512965486e-09,-3.755214587597881237e-02,9.386642209060064995e-03
4.324337379309325848e-04,2.169992777301546494e-01,2.098729011875046999e-09,2.098766878612575686e-09,-3.748042625858432481e-02,9.416932544095635987e-03
4.335226714022111585e-04,2.175457146892463556e-01,2.098676109444249478e-09,2.098716637047069739e-09,-3.741026130627865542e-02,9.447278200443030155e-03
4.346143469724539658e-04,2.180935276591404459e-01,2.098630951206440559e-09,2.098667040942086546e-09,-3.739928883310576768e-02,9.477676669832131584e-03
4.357087715466808567e-04,2.186427201048401769e-01,2.098579137728443234e-09,2.098618069197421209e-09,-3.737694148580632952e-02,9.508129669117961272e-03
4.368059520472981102e-04,2.191932955000735206e-01,2.098486651941379689e-09,2.098531347752569514e-09,-3.742929331308390145e-02,9.538626147467903910e-03
4.379058954141451629e-04,2.197452573273165344e-01,2.098431090398965605e-09,2.098477898683243162e-09,-3.735658798798691810e-02,9.569177506888081747e-03
4.390086086045365678e-04,2.202986090778144834e-01,2.098382057578427538e-09,2.098425121750774023e-09,-3.722340133982825205e-02,9.599781981899504352e-03
4.401140985933062839e-04,2.208533542516039894e-01,2.098334531385318505e-09,2.098373002594615967e-09,-3.745932435507749736e-02,9.630442992077549794e-03
4.412223723728526167e-04,2.214094963575356789e-01,2.098280513795612863e-09,2.098321522919110866e-09,-3.729028462713594033e-02,9.661164544051123459e-03
4.423334369531802305e-04,2.219670389132951949e-01,2.098225417902518916e-09,2.098270660811923346e-09,-3.738925023110528656e-02,9.691951569544330833e-03
4.434472993619475827e-04,2.225259854454269826e-01,2.098142929941114644e-09,2.098183096445593371e-09,-3.719611243144843593e-02,9.722809137029084919e-03
4.445639666445092616e-04,2.230863394893556340e-01,2.098089994982921014e-09,2.098127729631294677e-09,-3.705333127946525834e-02,9.753742203911676747e-03
4.456834458639611979e-04,2.236481045894084529e-01,2.098031721318378919e-09,2.098073026361653136e-09,-3.702753442881811380e-02,9.784755205677758694e-03
4.468057441011856045e-04,2.242112842988381316e-01,2.097980431702708567e-09,2.098018975239314770e-09,-3.710937404876157863e-02,9.815851657956099763e-03
4.479308684548941283e-04,2.247758821798442330e-01,2.097925443565796502e-09,2.097965562344703846e-09,-3.707084941472292561e-02,9.847033851704684038e-03
4.490588260416755002e-04,2.253419018035973109e-01,2.097868263067806116e-09,2.097912759944621641e-09,-3.714100847311506415e-02,9.878302636076528517e-03
4.501896239960385244e-04,2.259093467502603370e-01,2.097778392227283300e-09,2.097824302548077998e-09,-3.700280303157014311e-02,9.909657404748192094e-03
4.513232694704578311e-04,2.264782206090117100e-01,2.097732763152538595e-09,2.097766965745291706e-09,-3.706060475556443440e-02,9.941096340413724947e-03
4.524597696354194136e-04,2.270485269780680992e-01,2.097670906913008665e-09,2.097710286016346598e-09,-3.699975412217371140e-02,9.972616279731231353e-03
4.535991316794644296e-04,2.276202694647063707e-01,2.097618874107798952e-09,2.097654253842688008e-09,-3.693426236681089658e-02,1.000421331196464300e-02
4.547413628092371232e-04,2.281934516852877903e-01,2.097557490913205048e-09,2.097598846796266953e-09,-3.680499981870080650e-02,1.003588320365254166e-02
4.558864702495287347e-04,2.287680772652798677e-01,2.097495419873231793e-09,2.097544048876284883e-09,-3.682117847760226631e-02,1.006762180931182298e-02
4.570344612433235800e-04,2.293441498392796152e-01,2.097409455214601515e-09,2.097454646717246330e-09,-3.687647094242847007e-02,1.009942560206825678e-02
4.581853430518455076e-04,2.299216730510367790e-01,2.097350594259903994e-09,2.097395282337995272e-09,-3.689024941650188849e-02,1.013129227951587580e-02
4.593391229546016472e-04,2.305006505534758776e-01,2.097298994465105265e-09,2.097336570065832348e-09,-3.679990418845895811e-02,1.016321955255980458e-02
4.604958082494314689e-04,2.310810860087207097e-01,2.097235293359098159e-09,2.097278498584476379e-09,-3.665844449870446498e-02,1.019520918082815822e-02
4.616554062525511822e-04,2.316629830881166974e-01,2.097179143191270542e-09,2.097221042210968167e-09,-3.660198769102038230e-02,1.022726251749491062e-02
4.628179242986001389e-04,2.322463454722542564e-01,2.097120925343323565e-09,2.097164191102197565e-09,-3.665005821460028124e-02,1.025938320774700228e-02
4.639833697406875630e-04,2.328311768509919999e-01,2.097034731055399665e-09,2.097073790560445270e-09,-3.664091210000818694e-02,1.029157622517443485e-02
4.651517499504392796e-04,2.334174809234804970e-01,2.096972403988151635e-09,2.097012341630234911e-09,-3.670065010117958687e-02,1.032384715916750614e-02
4.663230723180427089e-04,2.340052613981846164e-01,2.096913311085802778e-09,2.096951537615984945e-09,-3.656017287733383248e-02,1.035620225515842922e-02
4.674973442522960894e-04,2.345945219929083114e-01,2.096855394398433722e-09,2.096891369236469991e-09,-3.645767195660199606e-02,1.038864740124151656e-02
4.686745731806539060e-04,2.351852664348174637e-01,2.096792841652236188e-09,2.096831812115824696e-09,-3.655416893738073353e-02,1.042118796030889506e-02
4.698547665492738357e-04,2.357774984604633084e-01,2.096735929017079274e-09,2.096772851316248324e-09,-3.648624901471898829e-02,1.045382798824363510e-02
4.710379318230648320e-04,2.363712218158067202e-01,2.096674409055988355e-09,2.096714462528018537e-09,-3.664286576852017474e-02,1.048656976237814960e-02
4.722240764857319568e-04,2.369664402562406125e-01,2.096573885630510322e-09,2.096617809323526431e-09,-3.644636481666851252e-02,1.051941420859938033e-02
4.734132080398270126e-04,2.375631575466153333e-01,2.096514293582178966e-09,2.096554860265498405e-09,-3.630369680232889418e-02,1.055236009544503750e-02
4.746053340067936995e-04,2.381613774612614254e-01,2.096452167211943163e-09,2.096492530476441521e-09,-3.644232731151322846e-02,1.058540480301614281e-02
4.758004619270160248e-04,2.387611037840138006e-01,2.096390261790230972e-09,2.096430810757702050e-09,-3.634385797638508414e-02,1.061854422281859403e-02
4.769985993598661704e-04,2.393623403082358603e-01,2.096327077423589808e-09,2.096369678339112000e-09,-3.632017229877343434e-02,1.065177354822425052e-02
4.781997538837505176e-04,2.399650908368425040e-01,2.096268107399227829e-09,2.096309112562728930e-09,-3.634920320714282727e-02,1.068508765137340250e-02
4.794039330961605500e-04,2.405693591823256927e-01,2.096173606222495647e-09,2.096211324792006418e-09,-3.641899846331073110e-02,1.071848198516943754e-02
4.806111446137188779e-04,2.411751491667776526e-01,2.096109259739425414e-09,2.096146167531223776e-09,-3.618594457629416977e-02,1.075195278704789426e-02
4.818213960722278651e-04,2.417824646219151052e-01,2.096042444999279283e-09,2.096081617979994176e-09,-3.625633244661724541e-02,1.078549814733338608e-02
4.830346951267184717e-04,2.423913093891039150e-01,2.095973067641129437e-09,2.096017673010925981e-09,-3.606224433734525614e-02,1.081911754474203062e-02
4.842510494514967669e-04,2.430016873193823201e-01,2.095915974140974893e-09,2.095954306000720243e-09,-3.610697310908403401e-02,1.085281293211928094e-02
4.854704667401953198e-04,2.436136022734868289e-01,2.095848986516841913e-09,2.095891500140014742e-09,-3.611004185278490070e-02,1.088658809244178599e-02
4.866929547058199287e-04,2.442270581218756176e-01,2.095751902847279034e-09,2.095792518948507769e-09,-3.601323494837921357e-02,1.092044834793983767e-02
4.879185210807989522e-04,2.448420587447532049e-01,2.095687156022861427e-09,2.095725090242375506e-09,-3.601513023391190310e-02,1.095440035003638311e-02
4.891471736170326405e-04,2.454586080320954045e-01,2.095619131689764864e-09,2.095658265480652531e-09,-3.607391381533649882e-02,1.098845109109782697e-02
4.903789200859401355e-04,2.460767098836726674e-01,2.095556349928290290e-09,2.095592032993351512e-09,-3.593099460814529189e-02,1.102260759808405648e-02
4.916137682785117835e-04,2.466963682090765886e-01,2.095482633091604720e-09,2.095526372236335996e-09,-3.596745471061287697e-02,1.105687608536894996e-02
4.928517260053564067e-04,2.473175869277433880e-01,2.095421379383128955e-09,2.095461267380460232e-09,-3.592566663064337279e-02,1.109126108790537031e-02
4.940928010967507965e-04,2.479403699689788909e-01,2.095322937735945064e-09,2.095361031881174901e-09,-3.587413015786460047e-02,1.112576539606796241e-02
4.953370014026903462e-04,2.485647212719839516e-01,2.095250267215787752e-09,2.095291264216131660e-09,-3.579988779571448287e-02,1.116038953839948271e-02
4.965843347929364306e-04,2.491906447858780738e-01,2.095180772381794727e-09,2.095222095320432041e-09,-3.575820601791609987e-02,1.119513193851138198e-02
4.978348091570689894e-04,2.498181444697260001e-01,2.095110637581456003e-09,2.095153508665749266e-09,-3.575231822095546047e-02,1.122998891437154180e-02
4.990884324045347748e-04,2.504472242925617764e-01,2.095044321860982719e-09,2.095085487564351817e-09,-3.559360824833429637e-02,1.126495563565776091e-02
5.003452124646975497e-04,2.510778882334140372e-01,2.094980991662090197e-09,2.095018015542989910e-09,-3.565251197696271690e-02,1.130002628153116591e-02
5.016051572868891533e-04,2.517101402813314848e-01,2.094881578587096637e-09,2.094916462912801950e-09,-3.565512222131822506e-02,1.133519503905088509e-02
5.028682748404573154e-04,2.523439844354070649e-01,2.094801484445049637e-09,2.094844289975721069e-09,-3.558958967916707461e-02,1.137045701273084117e-02
5.041345731148194316e-04,2.529794247048048339e-01,2.094727094979886119e-09,2.094772710879425413e-09,-3.554308088838385726e-02,1.140581110859647043e-02
5.054040601195108114e-04,2.536164651087842170e-01,2.094659184348869345e-09,2.094701702407299832e-09,-3.556857739320495870e-02,1.144124874554009429e-02
5.066767438842362855e-04,2.542551096767259322e-01,2.094592541645134485e-09,2.094631252470420621e-09,-3.557085312255208603e-02,1.147677827687350154e-02
5.079526324589208382e-04,2.548953624481573033e-01,2.094523624283674244e-09,2.094561343657786492e-09,-3.552332542279319771e-02,1.151240046856009946e-02
5.092317339137591558e-04,2.555372274727771842e-01,2.094420427753789748e-09,2.094458408997756922e-09,-3.550352843417262094e-02,1.154812100772965172e-02
5.105140563392689687e-04,2.561807088104827157e-01,2.094343651541171849e-09,2.094383771656309651e-09,-3.537187772798416896e-02,1.158394687981217225e-02
5.117996078463413591e-04,2.568258105313946937e-01,2.094272864589478006e-09,2.094309715045268339e-09,-3.542722287437158335e-02,1.161988631002264585e-02
5.130883965662911758e-04,2.574725367158824940e-01,2.094193480066303051e-09,2.094236219843622449e-09,-3.524872593742216925e-02,1.165594714929727750e-02
5.143804306509096183e-04,2.581208914545909949e-01,2.094126077123141099e-09,2.094163274097976441e-09,-3.541880194491825451e-02,1.169213667919723025e-02
5.156757182725155196e-04,2.587708788484658351e-01,2.094050688048083084e-09,2.094090857863442789e-09,-3.528300340759158576e-02,1.172846044042348025e-02
5.169742676240054362e-04,2.594225030087788930e-01,2.093979770526158679e-09,2.094018949403870215e-09,-3.524514780659741137e-02,1.176492165332712267e-02
5.182760869189084003e-04,2.600757680571554875e-01,2.093868979546027495e-09,2.093909298229453859e-09,-3.520134167872701614e-02,1.180152100470347951e-02
5.195811843914359017e-04,2.607306781255996353e-01,2.093789014822573812e-09,2.093832690362481489e-09,-3.510009406061399828e-02,1.183825671265764656e-02
5.208895682965344713e-04,2.613872373565204743e-01,2.093718976505553674e-09,2.093756636751873430e-09,-3.507437242132092903e-02,1.187512439987954346e-02
5.222012469099380485e-04,2.620454499027582984e-01,2.093642813404468323e-09,2.093681122243457934e-09,-3.511737617570397790e-02,1.191211845308022890e-02
5.235162285282188299e-04,2.627053199276103701e-01,2.093564286191270277e-09,2.093606126155798145e-09,-3.510627136702239304e-02,1.194923226537634650e-02
5.248345214688426722e-04,2.633668516048585095e-01,2.093489687070697480e-09,2.093531632304017639e-09,-3.500827593441537683e-02,1.198645941982199453e-02
5.261561340702192906e-04,2.640300491187944076e-01,2.093378597137716057e-09,2.093420437521720035e-09,-3.501982754621797006e-02,1.202379466459418608e-02
5.274810746917558187e-04,2.646949166642463824e-01,2.093300329189864499e-09,2.093341205426101022e-09,-3.504812657984514301e-02,1.206123825326773855e-02
5.288093517139104763e-04,2.653614584466065240e-01,2.093227141858868703e-09,2.093262517420281258e-09,-3.495336422669292897e-02,1.209877868245255207e-02
5.301409735382427678e-04,2.660296786818555081e-01,2.093143741644926594e-09,2.093184364980171559e-09,-3.488059414820980642e-02,1.213642882634905461e-02
5.314759485874702948e-04,2.666995815965915728e-01,2.093066522974081878e-09,2.093106719951903471e-09,-3.504025317242297904e-02,1.217419014950147510e-02
5.328142853055200384e-04,2.673711714280559426e-01,2.092991851589798121e-09,2.093029566326080314e-09,-3.483057358293970701e-02,1.221206959986064280e-02
5.341559921575817025e-04,2.680444524241596405e-01,2.092882543873355996e-09,2.092916756494042006e-09,-3.479276330772847203e-02,1.225007588746334329e-02
5.355010776301623570e-04,2.687194288435109657e-01,2.092795867975717047e-09,2.092834829466258306e-09,-3.473492193499536779e-02,1.228821804176940570e-02
5.368495502311378294e-04,2.693961049554412512e-01,2.092714724310268020e-09,2.092753435053234795e-09,-3.469951826101766446e-02,1.232650466534496864e-02
5.382014184898094083e-04,2.700744850400333408e-01,2.092635529683036864e-09,2.092672564612276586e-09,-3.471152427520650396e-02,1.236494266799441528e-02
5.395566909569562107e-04,2.707545733881477901e-01,2.092549852820791902e-09,2.092592190652620423e-09,-3.454491127097485820e-02,1.240353648876788527e-02
5.409153762048893917e-04,2.714363743014502894e-01,2.092461711702288067e-09,2.092512301206326036e-09,-3.461813571123713296e-02,1.244228767773927595e-02
5.422774828275068971e-04,2.721198920924388087e-01,2.092351551858521596e-09,2.092397802696426045e-09,-3.468419860225254586e-02,1.248119469716173387e-02
5.436430194403460469e-04,2.728051310844702426e-01,2.092272033299563906e-09,2.092313103279470388e-09,-3.454978161074998000e-02,1.252025335269586585e-02
5.450119946806407812e-04,2.734920956117890545e-01,2.092188948845792773e-09,2.092228925559574439e-09,-3.447561439276928402e-02,1.255945736006927431e-02
5.463844172073744612e-04,2.741807900195536996e-01,2.092106454613308111e-09,2.092145257041318089e-09,-3.447194751835357118e-02,1.259879944382721537e-02
5.477602957013350546e-04,2.748712186638644916e-01,2.092017640009358940e-09,2.092062078573423711e-09,-3.445354755611339942e-02,1.263827238301121203e-02
5.491396388651706472e-04,2.755633859117913032e-01,2.091940625124554694e-09,2.091979367946438447e-09,-3.437857738666979385e-02,1.267787043531766640e-02
5.505224554234421346e-04,2.762572961413999884e-01,2.091824152578415026e-09,2.091863104726409525e-09,-3.434458035110989071e-02,1.271759069207280095e-02
5.519087541226819866e-04,2.769529537417821374e-01,2.091736822703399077e-09,2.091775553320358210e-09,-3.438386953091413650e-02,1.275743009611498245e-02
5.532985437314470473e-04,2.776503631130811112e-01,2.091647255639631660e-09,2.091688512925663817e-09,-3.418874768430476413e-02,1.279739396543598529e-02
5.546918330403749139e-04,2.783495286665208512e-01,2.091559874255702186e-09,2.091601972109674089e-09,-3.422214227907110357e-02,1.283748732380746681e-02
5.560886308622391225e-04,2.790504548244331917e-01,2.091479027319359015e-09,2.091515906709930896e-09,-3.416568513128398488e-02,1.287771843942358586e-02
5.574889460320058519e-04,2.797531460202863918e-01,2.091387668845718583e-09,2.091430305392818662e-09,-3.415188614202501610e-02,1.291809704517888138e-02
5.588927874068872663e-04,2.804576066987120586e-01,2.091306015220875029e-09,2.091345138834592351e-09,-3.420850315295517058e-02,1.295863312925470655e-02
5.603001638664010381e-04,2.811638413155348459e-01,2.091178711615535489e-09,2.091221711669221638e-09,-3.405442919035053806e-02,1.299933561848421772e-02
5.617110843124242326e-04,2.818718543377996544e-01,2.091092449879730440e-09,2.091131727623620992e-09,-3.420340961568552052e-02,1.304021123904312157e-02
5.631255576692503371e-04,2.825816502438000533e-01,2.091000964204899079e-09,2.091042225065938428e-09,-3.396621689664581362e-02,1.308126343012365467e-02
5.645435928836457480e-04,2.832932335231067023e-01,2.090911255760710939e-09,2.090953194029171995e-09,-3.387181509282892466e-02,1.312249243891222550e-02
5.659651989249048481e-04,2.840066086765951070e-01,2.090820460794141370e-09,2.090864608678850304e-09,-3.394088749113404607e-02,1.316389496354654180e-02
5.673903847849096375e-04,2.847217802164754286e-01,2.090732975096824379e-09,2.090776454380620928e-09,-3.387444188960593572e-02,1.320546496301587547e-02
5.688191594781843779e-04,2.854387526663199059e-01,2.090608924303657181e-09,2.090651075516456775e-09,-3.390882204745171435e-02,1.324719473906059257e-02
5.702515320419534886e-04,2.861575305610918885e-01,2.090514882894417745e-09,2.090558058953037403e-09,-3.387173726437658905e-02,1.328907614306744020e-02
5.716875115361986842e-04,2.868781184471747014e-01,2.090426201697832685e-09,2.090465513394763891e-09,-3.365321016817986177e-02,1.333110225597936190e-02
5.731271070437147022e-04,2.876005208823991799e-01,2.090334889460715283e-09,2.090373421352839027e-09,-3.381106218892584309e-02,1.337326356186792006e-02
5.745703276701696937e-04,2.883247424360745881e-01,2.090242753048053085e-09,2.090281775251718598e-09,-3.362420561758736048e-02,1.341557251100753897e-02
5.760171825441608422e-04,2.890507876890159311e-01,2.090151537411635747e-09,2.090190542290106315e-09,-3.369000950346864864e-02,1.345801745342250534e-02
5.774676808172722609e-04,2.897786612335733758e-01,2.090021733929966357e-09,2.090063128146818266e-09,-3.360268103833277675e-02,1.350060903672414651e-02
5.789218316641338638e-04,2.905083676736616716e-01,2.089928200349242566e-09,2.089966994698741156e-09,-3.355950157397739192e-02,1.354335581583806895e-02
5.803796442824769863e-04,2.912399116247881281e-01,2.089833533953130287e-09,2.089871322322612347e-09,-3.341840054542411648e-02,1.358626851597614753e-02
5.818411278931958589e-04,2.919732977140832575e-01,2.089740001917208063e-09,2.089776091454712033e-09,-3.343736424213437919e-02,1.362935798449175194e-02
5.833062917404037689e-04,2.927085305803293069e-01,2.089641211911799732e-09,2.089681289984681776e-09,-3.339409417581128831e-02,1.367263392449848125e-02
5.847751450914921495e-04,2.934456148739895687e-01,2.089543802734289536e-09,2.089586891081352142e-09,-3.349701811565629350e-02,1.371610348869291805e-02
5.862476972371896689e-04,2.941845552572383005e-01,2.089416944121635050e-09,2.089457355355011282e-09,-3.338236889981376077e-02,1.375977018138365912e-02
5.877239574916186086e-04,2.949253564039887587e-01,2.089321220537004862e-09,2.089358016891938931e-09,-3.335964152657994869e-02,1.380363376887587708e-02
5.892039351923574223e-04,2.956680229999247844e-01,2.089214456839874013e-09,2.089259120830543194e-09,-3.328976249630466455e-02,1.384769003775079312e-02
5.906876397004976560e-04,2.964125597425292802e-01,2.089115280375774073e-09,2.089160659304870391e-09,-3.327050162594477611e-02,1.389193188841223413e-02
5.921750804007030371e-04,2.971589713411140754e-01,2.089020072085768579e-09,2.089062611695734386e-09,-3.321684059620396562e-02,1.393635072149809577e-02
5.936662667012701901e-04,2.979072625168498467e-01,2.088926192068645048e-09,2.088964955929094267e-09,-3.320558242860938147e-02,1.398093801846641594e-02
5.951612080341855569e-04,2.986574380027954279e-01,2.088794429851933705e-09,2.088833209584130131e-09,-3.316803547521234019e-02,1.402568668114757659e-02
5.966599138551881721e-04,2.994095025439286184e-01,2.088690499193961613e-09,2.088730567204987253e-09,-3.307090511494359397e-02,1.407059269790185245e-02
5.981623936438278848e-04,3.001634608971759377e-01,2.088588631390223037e-09,2.088628355456359955e-09,-3.304229755677244584e-02,1.411565598293135389e-02
5.996686569035249896e-04,3.009193178314421013e-01,2.088486167673363646e-09,2.088526569103100311e-09,-3.302722928344973413e-02,1.416088109700574561e-02
6.011787131616320263e-04,3.016770781276414404e-01,2.088383044803341943e-09,2.088425183894202571e-09,-3.288094198093977766e-02,1.420627587286730012e-02
6.026925719694904834e-04,3.024367465787260456e-01,2.088284795115842620e-09,2.088324175536613744e-09,-3.292609603072087915e-02,1.425185101755797878e-02
6.042102429024956336e-04,3.031983279897184635e-01,2.088188388676145889e-09,2.088223525066697164e-09,-3.289533628091708545e-02,1.429761837771249475e-02
6.057317355601545385e-04,3.039618271777407843e-01,2.088046578050290739e-09,2.088084092426536717e-09,-3.283329736412200078e-02,1.434358904852644362e-02
6.072570595661469809e-04,3.047272489720451172e-01,2.087940729463414010e-09,2.087978478969659189e-09,-3.281530424683237745e-02,1.438977201495585806e-02
6.087862245683875895e-04,3.054945982140448990e-01,2.087833468544251215e-09,2.087873266418249669e-09,-3.277020931849568275e-02,1.443617225019325212e-02
6.103192402390838437e-04,3.062638797573439819e-01,2.087730183876752094e-09,2.087768446276790208e-09,-3.272330526111389554e-02,1.448279071608950946e-02
6.118561162748010172e-04,3.070350984677691075e-01,2.087624366014659630e-09,2.087663988088649057e-09,-3.268465960019994315e-02,1.452962371054227798e-02
6.133968623965214842e-04,3.078082592233997716e-01,2.087516869778605687e-09,2.087559874748006186e-09,-3.257178565417383209e-02,1.457666418339407556e-02
6.149414883497063018e-04,3.085833669145991442e-01,2.087376559850925367e-09,2.087418015087637472e-09,-3.248893816133615470e-02,1.462390304036118201e-02
6.164900039043577683e-04,3.093604264440453777e-01,2.087267208285145144e-09,2.087308897024630885e-09,-3.265159981491910085e-02,1.467133076859739559e-02
6.180424188550787297e-04,3.101394427267613607e-01,2.087159715331623045e-09,2.087200160724854109e-09,-3.249980614376252880e-02,1.471893990388789542e-02
6.195987430211380648e-04,3.109204206901477474e-01,2.087050725615758178e-09,2.087091802428297288e-09,-3.247353085815114088e-02,1.476672565096740636e-02
6.211589862465305336e-04,3.117033652740127669e-01,2.086941002300116459e-09,2.086983794087435544e-09,-3.234787443223963860e-02,1.481468794058109044e-02
6.227231584000393356e-04,3.124882814306038092e-01,2.086835001318266845e-09,2.086876118719866263e-09,-3.231617156433393839e-02,1.486283175316609022e-02
6.242912693752998609e-04,3.132751741246391775e-01,2.086689541995692317e-09,2.086731734289479424e-09,-3.227485724681007639e-02,1.491116597028763376e-02
6.258633290908586708e-04,3.140640483333379529e-01,2.086578431656970030e-09,2.086619008097304175e-09,-3.220219733255627603e-02,1.495970199843234087e-02
6.274393474902411521e-04,3.148549090464538569e-01,2.086466642305641112e-09,2.086506653507479302e-09,-3.219216287807095955e-02,1.500845277739655710e-02
6.290193345420110396e-04,3.156477612663050047e-01,2.086353774533414197e-09,2.086394655866441524e-09,-3.208872240680867710e-02,1.505742982726287343e-02
6.306033002398346013e-04,3.164426100078062132e-01,2.086242510274919513e-09,2.086282999419876400e-09,-3.212322574738821906e-02,1.510664190187097598e-02
6.321912546025433045e-04,3.172394602985003642e-01,2.086133685887277236e-09,2.086171656926453679e-09,-3.213599352374962859e-02,1.515609332044640621e-02
6.337832076741987605e-04,3.180383171785912677e-01,2.085984231681972815e-09,2.086024646735621496e-09,-3.203281828886579002e-02,1.520578347548269191e-02
6.353791695241527886e-04,3.188391857009733044e-01,2.085870052873249050e-09,2.085908208832119383e-09,-3.204382561548922703e-02,1.525570721999847806e-02
6.369791502471150706e-04,3.196420709312659536e-01,2.085751669642715003e-09,2.085792124159497588e-09,-3.203083558866005875e-02,1.530585580987574648e-02
6.385831599632151674e-04,3.204469779478444358e-01,2.085630095436872207e-09,2.085676387008256082e-09,-3.174151934479232245e-02,1.535621924821225365e-02
6.401912088180661611e-04,3.212539118418719641e-01,2.085521120898099021e-09,2.085560970704857931e-09,-3.188111797158263427e-02,1.540678795831966659e-02
6.418033069828303584e-04,3.220628777173323853e-01,2.085407051098500846e-09,2.085445855886467038e-09,-3.177111631112401746e-02,1.545754655961452916e-02
6.434194646542804388e-04,3.228738806910613768e-01,2.085255365267320191e-09,2.085296115789393749e-09,-3.164045764260818572e-02,1.550851832012347699e-02
6.450396920548679769e-04,3.236869258927802528e-01,2.085135898125977690e-09,2.085175855464810852e-09,-3.172379925462071731e-02,1.555968056744646416e-02
